Product Name,Location,,Number of Cows,,,Daily (demand)Date,Quantity Sold (liters/kg),Customer Location,weekly demand data date,Product ID,,,Brand,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Quantity available  (liters/kg),,Total Value of available quantity ,,,,,,,Approx. Total Revenue(INR),,Sales Channel,,Price per Unit,Total Value of available quantity ,,,,,,Price per Unit (sold),
Ice Cream,Chandigarh,,60,,,25-07-2019,169,Rajasthan,2014,5,,,Mother Dairy,472,31.64,641.05,,49751.89,,,,,,,13592.67,,Online,,77.61,49751.89,,,,,,80.43,
Milk,Chandigarh,,27,,,25-07-2019,50,Chandigarh,2014,1,,,Sudha,136,16.17,186.73,,14275.51,,,,,,,3650,,Retail,,76.45,14275.51,,,,,,73,
Cheese,Madhya Pradesh,,50,,,26-07-2019,400,Bihar,2390,3,,,Dynamix Dairies,468,55.02,868.05,,76596.73,,,,,,,37004,,Online,,88.24,76596.73,,,,,,92.51,
Yogurt,Gujarat,,40,,,26-07-2019,226,Chandigarh,2390,4,,,Amul,75,13.22,301.07,,4850.24,,,,,,,4275.92,,Wholesale,,16.11,4850.24,,,,,,18.92,
Butter,Chandigarh,,70,,,26-07-2019,374,Rajasthan,2390,2,,,Mother Dairy,354,15.19,728.14,,14002.13,,,,,,,7079.82,,Online,,19.23,14002.13,,,,,,18.93,
Ice Cream,Telangana,,89,,,27-07-2019,564,Telangana,3032,5,,,Amul,343,24.52,907.69,,15194.73,,,,,,,10005.36,,Wholesale,,16.74,15194.73,,,,,,17.74,
Curd,Telangana,,82,,,28-07-2019,110,Telangana,3190,6,,,Mother Dairy,456,77.08,566.41,,56516.39,,,,,,,11121,,Retail,,99.78,56516.39,,,,,,101.1,
Curd,Rajasthan,,78,,,01-08-2019,17,Telangana,9408,6,,,Raj,108,39.27,125.9,,7089.43,,,,,,,906.61,,Retail,,56.31,7089.43,,,,,,53.33,
Yogurt,Chandigarh,,57,,,01-08-2019,294,Bihar,9408,4,,,Amul,263,38.95,557.87,,46470.57,,,,,,,25895.52,,Online,,83.3,46470.57,,,,,,88.08,
Ghee,Chandigarh,,49,,,01-08-2019,229,Karnataka,9408,10,,,Amul,45,44.32,274.41,,20915.53,,,,,,,17758.95,,Online,,76.22,20915.53,,,,,,77.55,
Milk,Telangana,,55,,,01-08-2019,128,Maharashtra,9408,1,,,Sudha,733,91.23,861.07,,11831.10,,,,,,,1692.16,,Online,,13.74,11831.10,,,,,,13.22,
Paneer,Rajasthan,,81,,,01-08-2019,48,Rajasthan,9408,9,,,Mother Dairy,52,55.8,100.34,,4290.54,,,,,,,1924.8,,Wholesale,,42.76,4290.54,,,,,,40.1,
Paneer,Delhi,,73,,,02-08-2019,23,Telangana,8919,9,,,Amul,2,56.94,25.69,,419.52,,,,,,,416.3,,Retail,,16.33,419.52,,,,,,18.1,
Ice Cream,Telangana,,30,,,02-08-2019,654,Bihar,8919,5,,,Dodla Dairy,104,13.09,758.84,,61519.16,,,,,,,52267.68,,Retail,,81.07,61519.16,,,,,,79.92,
Butter,Kerala,,76,,,02-08-2019,344,Bihar,8919,2,,,Mother Dairy,156,41.06,500.66,,45259.66,,,,,,,32597.44,,Wholesale,,90.4,45259.66,,,,,,94.76,
Yogurt,Karnataka,,25,,,02-08-2019,90,Telangana,8919,4,,,Amul,367,32.86,457.01,,23622.85,,,,,,,4489.2,,Wholesale,,51.69,23622.85,,,,,,49.88,
Butter,Tamil Nadu,,83,,,02-08-2019,531,Kerala,8919,2,,,Mother Dairy,391,35.14,922.51,,16983.41,,,,,,,9982.8,,Retail,,18.41,16983.41,,,,,,18.8,
Curd,Chandigarh,,38,,,03-08-2019,203,Telangana,7970,6,,,Mother Dairy,348,89.68,551.14,,35278.47,,,,,,,13215.3,,Wholesale,,64.01,35278.47,,,,,,65.1,
Yogurt,Chandigarh,,53,,,03-08-2019,284,Chandigarh,7970,4,,,Palle2patnam,708,55.44,992.85,,85643.24,,,,,,,23199.96,,Online,,86.26,85643.24,,,,,,81.69,
Milk,Kerala,,11,,,03-08-2019,235,Jharkhand,7970,1,,,Amul,145,87.44,380.1,,32270.49,,,,,,,19027.95,,Wholesale,,84.9,32270.49,,,,,,80.97,
Ghee,Tamil Nadu,,11,,,04-08-2019,353,Kerala,9539,10,,,Sudha,535,37.75,888.11,,63535.39,,,,,,,24053.42,,Wholesale,,71.54,63535.39,,,,,,68.14,
Butter,Karnataka,,40,,,04-08-2019,40,Chandigarh,9539,2,,,Mother Dairy,409,26,449.63,,24513.83,,,,,,,2015.2,,Wholesale,,54.52,24513.83,,,,,,50.38,
Milk,Rajasthan,,94,,,04-08-2019,8,Karnataka,9539,1,,,Sudha,37,18.04,45.51,,1228.31,,,,,,,244.72,,Retail,,26.99,1228.31,,,,,,30.59,
Butter,Jharkhand,,18,,,04-08-2019,521,West Bengal,9539,2,,,Mother Dairy,153,61.44,674.29,,62257.20,,,,,,,47020.25,,Wholesale,,92.33,62257.20,,,,,,90.25,
Paneer,Madhya Pradesh,,21,,,04-08-2019,264,Delhi,9539,9,,,Amul,109,48.92,373.3,,21128.78,,,,,,,15523.2,,Wholesale,,56.6,21128.78,,,,,,58.8,
Milk,Rajasthan,,28,,,05-08-2019,473,Karnataka,10000,1,,,Amul,158,11.68,631.86,,14058.89,,,,,,,12780.46,,Retail,,22.25,14058.89,,,,,,27.02,
Lassi,Telangana,,53,,,05-08-2019,524,Maharashtra,10000,7,,,Raj,120,76.51,644.91,,50812.46,,,,,,,38776,,Retail,,78.79,50812.46,,,,,,74,
Lassi,Rajasthan,,99,,,05-08-2019,476,Karnataka,10000,7,,,Amul,16,22.79,492.27,,42133.39,,,,,,,40445.72,,Retail,,85.59,42133.39,,,,,,84.97,
Buttermilk,Uttar Pradesh,,77,,,05-08-2019,105,Karnataka,10000,8,,,Sudha,242,95.85,347.7,,29624.04,,,,,,,9032.1,,Retail,,85.2,29624.04,,,,,,86.02,
Paneer,Gujarat,,99,,,05-08-2019,281,Uttar Pradesh,10000,9,,,Sudha,152,67.13,433.4,,39448.07,,,,,,,25337.77,,Retail,,91.02,39448.07,,,,,,90.17,
Yogurt,Kerala,,94,,,05-08-2019,417,Madhya Pradesh,10000,4,,,Dodla Dairy,58,12.36,475.72,,37372.56,,,,,,,34698.57,,Wholesale,,78.56,37372.56,,,,,,83.21,
Ice Cream,Maharashtra,,42,,,06-08-2019,196,Delhi,8726,5,,,Palle2patnam,36,10.32,232.16,,22514.88,,,,,,,18208.4,,Online,,96.98,22514.88,,,,,,92.9,
Buttermilk,Haryana,,13,,,06-08-2019,152,Chandigarh,8726,8,,,Mother Dairy,177,60.27,329.66,,22611.38,,,,,,,10082.16,,Online,,68.59,22611.38,,,,,,66.33,
Curd,Jharkhand,,27,,,06-08-2019,835,Telangana,8726,6,,,Raj,23,72.97,858.4,,48997.47,,,,,,,50033.2,,Retail,,57.08,48997.47,,,,,,59.92,
Ice Cream,Jharkhand,,97,,,07-08-2019,854,Rajasthan,7543,5,,,Amul,16,79.19,870.63,,36305.27,,,,,,,38549.56,,Online,,41.7,36305.27,,,,,,45.14,
Lassi,Chandigarh,,54,,,07-08-2019,489,Uttar Pradesh,7543,7,,,Sudha,392,74.62,881.08,,66741.81,,,,,,,36782.58,,Wholesale,,75.75,66741.81,,,,,,75.22,
Yogurt,West Bengal,,14,,,07-08-2019,340,Tamil Nadu,7543,4,,,Mother Dairy,353,87.19,693.88,,51888.35,,,,,,,25840,,Wholesale,,74.78,51888.35,,,,,,76,
Ice Cream,Chandigarh,,68,,,08-08-2019,150,Delhi,6525,5,,,Mother Dairy,34,62.98,184.07,,15999.36,,,,,,,13164,,Online,,86.92,15999.36,,,,,,87.76,
Lassi,Haryana,,86,,,08-08-2019,77,Haryana,6525,7,,,Amul,394,17.66,471.26,,13459.19,,,,,,,2036.65,,Online,,28.56,13459.19,,,,,,26.45,
Cheese,Delhi,,25,,,09-08-2019,137,Chandigarh,8311,3,,,Amul,226,22.66,363.67,,13499.43,,,,,,,5712.9,,Retail,,37.12,13499.43,,,,,,41.7,
Yogurt,Jharkhand,,65,,,09-08-2019,15,Rajasthan,8311,4,,,Palle2patnam,407,61.39,422.98,,37353.36,,,,,,,1386.15,,Retail,,88.31,37353.36,,,,,,92.41,
Yogurt,Haryana,,86,,,09-08-2019,417,Tamil Nadu,8311,4,,,Dodla Dairy,216,33.67,633.7,,28769.98,,,,,,,18068.61,,Online,,45.4,28769.98,,,,,,43.33,
Ghee,Gujarat,,56,,,09-08-2019,124,Madhya Pradesh,8311,10,,,Mother Dairy,34,91.25,158.23,,9208.99,,,,,,,6904.32,,Retail,,58.2,9208.99,,,,,,55.68,
Milk,West Bengal,,64,,,10-08-2019,297,Rajasthan,8543,1,,,Sudha,216,86.13,513.42,,39353.64,,,,,,,22313.61,,Retail,,76.65,39353.64,,,,,,75.13,
Buttermilk,Chandigarh,,95,,,10-08-2019,113,Kerala,8543,8,,,Mother Dairy,87,39.7,200.83,,2088.63,,,,,,,941.29,,Wholesale,,10.4,2088.63,,,,,,8.33,
Cheese,Chandigarh,,83,,,10-08-2019,250,Kerala,8543,3,,,Passion Cheese,42,82.11,292.46,,18483.47,,,,,,,16125,,Retail,,63.2,18483.47,,,,,,64.5,
Lassi,Delhi,,95,,,10-08-2019,202,Chandigarh,8543,7,,,Mother Dairy,102,93.23,304.2,,27813.01,,,,,,,18367.86,,Online,,91.43,27813.01,,,,,,90.93,
Ice Cream,Telangana,,34,,,10-08-2019,381,Kerala,8543,5,,,Dodla Dairy,30,96.02,411.24,,19102.10,,,,,,,19080.48,,Online,,46.45,19102.10,,,,,,50.08,
Curd,Maharashtra,,59,,,10-08-2019,534,Bihar,8543,6,,,Raj,336,22.11,870.99,,10687.05,,,,,,,6402.66,,Online,,12.27,10687.05,,,,,,11.99,
Yogurt,Delhi,,83,,,10-08-2019,355,Haryana,8543,4,,,Amul,18,49.49,373.36,,6866.09,,,,,,,5676.45,,Wholesale,,18.39,6866.09,,,,,,15.99,
Ice Cream,Jharkhand,,88,,,10-08-2019,159,Uttar Pradesh,8543,5,,,Palle2patnam,224,58.01,383.3,,14711.05,,,,,,,6469.71,,Online,,38.38,14711.05,,,,,,40.69,
Buttermilk,Haryana,,35,,,11-08-2019,840,West Bengal,7642,8,,,Sudha,69,36.56,909.05,,10435.89,,,,,,,12457.2,,Online,,11.48,10435.89,,,,,,14.83,
Milk,Karnataka,,71,,,11-08-2019,449,Kerala,7642,1,,,Amul,403,21.82,852.61,,75890.82,,,,,,,41972.52,,Wholesale,,89.01,75890.82,,,,,,93.48,
Yogurt,Delhi,,87,,,11-08-2019,358,Kerala,7642,4,,,Mother Dairy,149,62.97,507.59,,6070.78,,,,,,,2788.82,,Online,,11.96,6070.78,,,,,,7.79,
Cheese,West Bengal,,13,,,12-08-2019,444,Bihar,8061,3,,,Britannia Industries,78,83.01,522.79,,15971.23,,,,,,,14496.6,,Online,,30.55,15971.23,,,,,,32.65,
Curd,Rajasthan,,79,,,12-08-2019,558,Telangana,8061,6,,,Amul,313,74.96,871.22,,56542.18,,,,,,,38256.48,,Online,,64.9,56542.18,,,,,,68.56,
Milk,Delhi,,37,,,14-08-2019,165,Uttar Pradesh,8830,1,,,Sudha,47,53.6,212.56,,11344.33,,,,,,,9071.7,,Wholesale,,53.37,11344.33,,,,,,54.98,
Buttermilk,Bihar,,76,,,14-08-2019,79,Chandigarh,8830,8,,,Mother Dairy,190,48.19,269.34,,14786.77,,,,,,,4194.9,,Online,,54.9,14786.77,,,,,,53.1,
Lassi,Karnataka,,17,,,14-08-2019,374,Tamil Nadu,8830,7,,,Amul,493,56.91,867.48,,38880.45,,,,,,,18296.08,,Wholesale,,44.82,38880.45,,,,,,48.92,
Paneer,Chandigarh,,51,,,14-08-2019,47,Delhi,8830,9,,,Amul,2,46.33,49.4,,1635.14,,,,,,,1580.61,,Retail,,33.1,1635.14,,,,,,33.63,
Lassi,Haryana,,37,,,15-08-2019,552,Haryana,8180,7,,,Amul,129,64.85,681.45,,53534.71,,,,,,,41096.4,,Retail,,78.56,53534.71,,,,,,74.45,
Yogurt,Maharashtra,,94,,,15-08-2019,265,Gujarat,8180,4,,,Dodla Dairy,172,88.34,437.19,,11764.78,,,,,,,8334.25,,Retail,,26.91,11764.78,,,,,,31.45,
Yogurt,Delhi,,93,,,15-08-2019,236,Delhi,8180,4,,,Palle2patnam,225,61.02,461.49,,24417.44,,,,,,,11927.44,,Online,,52.91,24417.44,,,,,,50.54,
Lassi,Maharashtra,,79,,,15-08-2019,429,Chandigarh,8180,7,,,Mother Dairy,197,86.19,626.94,,44970.41,,,,,,,32689.8,,Wholesale,,71.73,44970.41,,,,,,76.2,
Curd,Jharkhand,,76,,,15-08-2019,531,Chandigarh,8180,6,,,Sudha,348,82.36,879.54,,58058.44,,,,,,,33840.63,,Online,,66.01,58058.44,,,,,,63.73,
Yogurt,West Bengal,,24,,,16-08-2019,220,Bihar,6319,4,,,Palle2patnam,510,45.39,730.59,,65986.89,,,,,,,19690,,Retail,,90.32,65986.89,,,,,,89.5,
Paneer,Delhi,,34,,,16-08-2019,7,Maharashtra,6319,9,,,Mother Dairy,40,25.38,47.68,,1760.35,,,,,,,278.04,,Retail,,36.92,1760.35,,,,,,39.72,
Milk,Delhi,,97,,,16-08-2019,399,Uttar Pradesh,6319,1,,,Amul,503,65.3,902.8,,23842.95,,,,,,,10294.2,,Retail,,26.41,23842.95,,,,,,25.8,
Butter,Gujarat,,92,,,16-08-2019,299,Delhi,6319,2,,,Parag Milk Foods,575,42.54,874.87,,73760.29,,,,,,,24153.22,,Retail,,84.31,73760.29,,,,,,80.78,
Ice Cream,Uttar Pradesh,,30,,,17-08-2019,192,Delhi,6455,5,,,Palle2patnam,131,42.07,323.95,,14875.78,,,,,,,9546.24,,Online,,45.92,14875.78,,,,,,49.72,
Buttermilk,Delhi,,72,,,17-08-2019,326,Bihar,6455,8,,,Amul,392,75.34,718.53,,14514.31,,,,,,,7579.5,,Retail,,20.2,14514.31,,,,,,23.25,
Paneer,Rajasthan,,46,,,17-08-2019,684,Haryana,6455,9,,,Amul,73,60.1,757.81,,66944.94,,,,,,,60657.12,,Online,,88.34,66944.94,,,,,,88.68,
Lassi,Bihar,,35,,,17-08-2019,188,Karnataka,6455,7,,,Mother Dairy,256,93.38,444.64,,38341.31,,,,,,,16929.4,,Online,,86.23,38341.31,,,,,,90.05,
Buttermilk,Madhya Pradesh,,14,,,18-08-2019,268,Gujarat,5680,8,,,Amul,370,70.29,638.73,,34746.91,,,,,,,15683.36,,Online,,54.4,34746.91,,,,,,58.52,
Buttermilk,Kerala,,39,,,18-08-2019,931,Delhi,5680,8,,,Mother Dairy,57,13.83,988.74,,29434.79,,,,,,,27781.04,,Retail,,29.77,29434.79,,,,,,29.84,
Ice Cream,Madhya Pradesh,,36,,,18-08-2019,219,Karnataka,5680,5,,,Mother Dairy,307,19.13,526.99,,12695.19,,,,,,,4296.78,,Online,,24.09,12695.19,,,,,,19.62,
Butter,Uttar Pradesh,,14,,,18-08-2019,648,Telangana,5680,2,,,Parag Milk Foods,98,65.85,746.47,,71093.80,,,,,,,60659.28,,Wholesale,,95.24,71093.80,,,,,,93.61,
Cheese,Uttar Pradesh,,40,,,19-08-2019,194,Telangana,4043,3,,,Passion Cheese,470,88.75,664.48,,21243.43,,,,,,,7024.74,,Wholesale,,31.97,21243.43,,,,,,36.21,
Cheese,Karnataka,,97,,,19-08-2019,86,Madhya Pradesh,4043,3,,,Dynamix Dairies,185,58.49,271.73,,19830.86,,,,,,,6331.32,,Wholesale,,72.98,19830.86,,,,,,73.62,
Paneer,Haryana,,77,,,19-08-2019,35,Rajasthan,4043,9,,,Raj,565,92.16,600.06,,15859.59,,,,,,,849.8,,Retail,,26.43,15859.59,,,,,,24.28,
Ghee,Karnataka,,74,,,20-08-2019,129,Maharashtra,4242,10,,,Raj,864,78.61,993.19,,40273.85,,,,,,,4885.23,,Retail,,40.55,40273.85,,,,,,37.87,
Milk,Jharkhand,,43,,,20-08-2019,556,Madhya Pradesh,4242,1,,,Raj,272,15.63,828.94,,14663.95,,,,,,,10975.44,,Wholesale,,17.69,14663.95,,,,,,19.74,
Ice Cream,Chandigarh,,16,,,20-08-2019,2,Delhi,4242,5,,,Dodla Dairy,1,60.98,3.97,,231.45,,,,,,,125.74,,Online,,58.3,231.45,,,,,,62.87,
Butter,Kerala,,57,,,20-08-2019,649,Karnataka,4242,2,,,Warana,317,14.14,966.19,,67072.91,,,,,,,47344.55,,Retail,,69.42,67072.91,,,,,,72.95,
Buttermilk,Rajasthan,,15,,,20-08-2019,120,Delhi,4242,8,,,Raj,781,52.33,901.13,,18806.58,,,,,,,2008.8,,Wholesale,,20.87,18806.58,,,,,,16.74,
Cheese,Rajasthan,,69,,,21-08-2019,15,Jharkhand,3431,3,,,Passion Cheese,122,80,137.74,,11130.77,,,,,,,1222.65,,Wholesale,,80.81,11130.77,,,,,,81.51,
Lassi,Kerala,,80,,,22-08-2019,152,Haryana,3626,7,,,Amul,361,17.74,513.5,,23528.57,,,,,,,6599.84,,Online,,45.82,23528.57,,,,,,43.42,
Lassi,Gujarat,,38,,,23-08-2019,778,Kerala,3474,7,,,Amul,10,17.14,788.91,,21600.36,,,,,,,19115.46,,Retail,,27.38,21600.36,,,,,,24.57,
Paneer,Kerala,,30,,,23-08-2019,283,Kerala,3474,9,,,Sudha,172,70.8,455.87,,17154.39,,,,,,,11096.43,,Retail,,37.63,17154.39,,,,,,39.21,
Butter,Delhi,,94,,,24-08-2019,534,Chandigarh,2413,2,,,Mother Dairy,257,80.22,791.17,,35610.56,,,,,,,25637.34,,Wholesale,,45.01,35610.56,,,,,,48.01,
Milk,Delhi,,38,,,24-08-2019,24,Delhi,2413,1,,,Mother Dairy,289,85.32,313.84,,22317.16,,,,,,,1820.16,,Wholesale,,71.11,22317.16,,,,,,75.84,
Lassi,Jharkhand,,37,,,24-08-2019,57,Gujarat,2413,7,,,Mother Dairy,23,55.1,80.94,,4692.09,,,,,,,3439.95,,Retail,,57.97,4692.09,,,,,,60.35,
Butter,Jharkhand,,13,,,25-08-2019,294,Kerala,1798,2,,,Parag Milk Foods,442,48.94,736.38,,34860.23,,,,,,,13623.96,,Wholesale,,47.34,34860.23,,,,,,46.34,
Butter,Chandigarh,,93,,,25-08-2019,135,Uttar Pradesh,1798,2,,,Amul,62,79.28,197.38,,13078.40,,,,,,,9463.5,,Online,,66.26,13078.40,,,,,,70.1,
Buttermilk,Uttar Pradesh,,91,,,26-08-2019,6,Rajasthan,2338,8,,,Raj,113,94.21,119.49,,3637.28,,,,,,,182.1,,Online,,30.44,3637.28,,,,,,30.35,
Ghee,West Bengal,,37,,,26-08-2019,22,Uttar Pradesh,2338,10,,,Raj,66,95.15,88.04,,4205.67,,,,,,,1139.38,,Retail,,47.77,4205.67,,,,,,51.79,
Paneer,Telangana,,93,,,26-08-2019,114,Madhya Pradesh,2338,9,,,Raj,32,44.04,146.84,,11714.90,,,,,,,9625.02,,Retail,,79.78,11714.90,,,,,,84.43,
Curd,Uttar Pradesh,,17,,,26-08-2019,372,Tamil Nadu,2338,6,,,Raj,286,68.81,658.42,,15255.59,,,,,,,8611.8,,Online,,23.17,15255.59,,,,,,23.15,
Buttermilk,West Bengal,,67,,,27-08-2019,30,Haryana,2504,8,,,Mother Dairy,23,15.16,53.6,,1262.82,,,,,,,754.8,,Wholesale,,23.56,1262.82,,,,,,25.16,
Lassi,Haryana,,34,,,27-08-2019,52,Madhya Pradesh,2504,7,,,Raj,9,82.8,61.3,,4053.16,,,,,,,3578.64,,Retail,,66.12,4053.16,,,,,,68.82,
Ice Cream,Madhya Pradesh,,35,,,27-08-2019,11,Haryana,2504,5,,,Dodla Dairy,68,96.05,79.1,,1644.49,,,,,,,245.41,,Retail,,20.79,1644.49,,,,,,22.31,
Ice Cream,Karnataka,,74,,,27-08-2019,552,Karnataka,2504,5,,,Palle2patnam,31,95.24,583.59,,7078.95,,,,,,,4206.24,,Online,,12.13,7078.95,,,,,,7.62,
Cheese,Uttar Pradesh,,44,,,28-08-2019,210,Gujarat,3113,3,,,Amul,65,84.5,275.61,,17636.28,,,,,,,13244.7,,Wholesale,,63.99,17636.28,,,,,,63.07,
Yogurt,Delhi,,17,,,01-09-2019,217,Madhya Pradesh,6707,4,,,Mother Dairy,759,25.07,976.79,,10959.58,,,,,,,3443.79,,Online,,11.22,10959.58,,,,,,15.87,
Ice Cream,Haryana,,41,,,01-09-2019,104,Madhya Pradesh,6707,5,,,Mother Dairy,85,20.68,189.67,,2025.68,,,,,,,1586,,Online,,10.68,2025.68,,,,,,15.25,
Cheese,Gujarat,,56,,,01-09-2019,135,Jharkhand,6707,3,,,Dynamix Dairies,31,75.72,166.4,,11340.16,,,,,,,8869.5,,Wholesale,,68.15,11340.16,,,,,,65.7,
Curd,Uttar Pradesh,,89,,,01-09-2019,328,Kerala,6707,6,,,Amul,573,16.8,901.97,,72401.13,,,,,,,25006.72,,Retail,,80.27,72401.13,,,,,,76.24,
Curd,Madhya Pradesh,,42,,,01-09-2019,185,Maharashtra,6707,6,,,Sudha,28,53,213.49,,2574.69,,,,,,,2123.8,,Online,,12.06,2574.69,,,,,,11.48,
Butter,Telangana,,74,,,02-09-2019,84,Rajasthan,6662,2,,,Amul,142,54.05,226.32,,9061.85,,,,,,,3266.76,,Online,,40.04,9061.85,,,,,,38.89,
Lassi,Kerala,,47,,,02-09-2019,321,Tamil Nadu,6662,7,,,Mother Dairy,322,40.09,643.78,,24650.34,,,,,,,13221.99,,Retail,,38.29,24650.34,,,,,,41.19,
Curd,Gujarat,,61,,,02-09-2019,244,Karnataka,6662,6,,,Amul,327,46.28,571.37,,6867.87,,,,,,,2798.68,,Wholesale,,12.02,6867.87,,,,,,11.47,
Curd,Rajasthan,,93,,,02-09-2019,31,Gujarat,6662,6,,,Mother Dairy,319,72.22,350.35,,9158.15,,,,,,,962.24,,Online,,26.14,9158.15,,,,,,31.04,
Milk,West Bengal,,39,,,03-09-2019,298,Rajasthan,6751,1,,,Raj,349,71.78,647.09,,11854.69,,,,,,,5664.98,,Online,,18.32,11854.69,,,,,,19.01,
Lassi,Delhi,,30,,,03-09-2019,62,Chandigarh,6751,7,,,Raj,106,36.31,168.5,,12620.65,,,,,,,4534.06,,Wholesale,,74.9,12620.65,,,,,,73.13,
Milk,Tamil Nadu,,68,,,03-09-2019,176,Uttar Pradesh,6751,1,,,Mother Dairy,112,24.2,288.78,,22813.62,,,,,,,13761.44,,Online,,79,22813.62,,,,,,78.19,
Curd,Rajasthan,,87,,,03-09-2019,323,Gujarat,6751,6,,,Mother Dairy,285,78.56,608.37,,44137.24,,,,,,,23178.48,,Online,,72.55,44137.24,,,,,,71.76,
Curd,Madhya Pradesh,,38,,,03-09-2019,395,Bihar,6751,6,,,Sudha,550,73.86,945.63,,88085.43,,,,,,,35945,,Retail,,93.15,88085.43,,,,,,91,
Curd,Jharkhand,,70,,,04-09-2019,26,Uttar Pradesh,6171,6,,,Amul,52,92.97,78.25,,5353.87,,,,,,,1662.44,,Wholesale,,68.42,5353.87,,,,,,63.94,
Milk,Maharashtra,,30,,,05-09-2019,443,Bihar,6910,1,,,Mother Dairy,466,61.92,909.03,,76913.03,,,,,,,37885.36,,Wholesale,,84.61,76913.03,,,,,,85.52,
Buttermilk,Rajasthan,,36,,,05-09-2019,557,Uttar Pradesh,6910,8,,,Sudha,58,92.99,615.13,,21548.00,,,,,,,19517.28,,Wholesale,,35.03,21548.00,,,,,,35.04,
Buttermilk,Telangana,,11,,,05-09-2019,211,Tamil Nadu,6910,8,,,Mother Dairy,232,97.45,443.17,,24064.13,,,,,,,12501.75,,Online,,54.3,24064.13,,,,,,59.25,
Ice Cream,Rajasthan,,75,,,05-09-2019,61,Gujarat,6910,5,,,Mother Dairy,456,94.34,517.29,,31213.28,,,,,,,3747.23,,Wholesale,,60.34,31213.28,,,,,,61.43,
Paneer,Gujarat,,61,,,06-09-2019,230,Gujarat,6341,9,,,Raj,444,99.99,674.12,,29135.47,,,,,,,9841.7,,Retail,,43.22,29135.47,,,,,,42.79,
Lassi,Jharkhand,,26,,,06-09-2019,178,Uttar Pradesh,6341,7,,,Amul,716,80.49,894.86,,46496.93,,,,,,,8743.36,,Wholesale,,51.96,46496.93,,,,,,49.12,
Cheese,Gujarat,,30,,,07-09-2019,51,Chandigarh,6400,3,,,Amul,78,98.41,129.35,,6490.78,,,,,,,2778.99,,Wholesale,,50.18,6490.78,,,,,,54.49,
Yogurt,Delhi,,27,,,07-09-2019,619,Maharashtra,6400,4,,,Dodla Dairy,21,30.24,640.47,,37333.00,,,,,,,35406.8,,Online,,58.29,37333.00,,,,,,57.2,
Cheese,Bihar,,31,,,07-09-2019,200,Chandigarh,6400,3,,,Passion Cheese,21,51.34,221.31,,18643.15,,,,,,,17844,,Online,,84.24,18643.15,,,,,,89.22,
Lassi,Chandigarh,,53,,,07-09-2019,477,Maharashtra,6400,7,,,Raj,172,85.96,649.87,,59157.67,,,,,,,45591.66,,Wholesale,,91.03,59157.67,,,,,,95.58,
Yogurt,Haryana,,30,,,07-09-2019,97,Delhi,6400,4,,,Amul,214,87.26,311.19,,19713.89,,,,,,,5884.99,,Retail,,63.35,19713.89,,,,,,60.67,
Milk,Delhi,,36,,,07-09-2019,654,Kerala,6400,1,,,Amul,154,32.48,808.3,,18558.57,,,,,,,13629.36,,Wholesale,,22.96,18558.57,,,,,,20.84,
Buttermilk,Tamil Nadu,,41,,,08-09-2019,18,Chandigarh,5248,8,,,Sudha,74,92.39,92.53,,1120.54,,,,,,,147.24,,Online,,12.11,1120.54,,,,,,8.18,
Yogurt,Gujarat,,65,,,08-09-2019,40,Delhi,5248,4,,,Palle2patnam,171,53.03,211.38,,17538.20,,,,,,,3305.2,,Wholesale,,82.97,17538.20,,,,,,82.63,
Ghee,Tamil Nadu,,16,,,08-09-2019,832,West Bengal,5248,10,,,Raj,2,28.35,834.14,,69308.69,,,,,,,69022.72,,Retail,,83.09,69308.69,,,,,,82.96,
Yogurt,Maharashtra,,63,,,08-09-2019,10,Gujarat,5248,4,,,Palle2patnam,744,48.76,754.2,,44218.75,,,,,,,619.1,,Retail,,58.63,44218.75,,,,,,61.91,
Milk,Uttar Pradesh,,63,,,08-09-2019,20,Tamil Nadu,5248,1,,,Sudha,124,86.7,144.22,,7803.74,,,,,,,1024.2,,Wholesale,,54.11,7803.74,,,,,,51.21,
Buttermilk,Gujarat,,26,,,08-09-2019,4,Delhi,5248,8,,,Mother Dairy,4,35.23,8.92,,548.85,,,,,,,264.16,,Online,,61.53,548.85,,,,,,66.04,
Lassi,Tamil Nadu,,12,,,09-09-2019,37,Haryana,4449,7,,,Raj,23,69.28,60.41,,2819.94,,,,,,,1908.83,,Retail,,46.68,2819.94,,,,,,51.59,
Yogurt,Telangana,,67,,,09-09-2019,334,Karnataka,4449,4,,,Amul,283,27.28,617.41,,40909.59,,,,,,,23480.2,,Retail,,66.26,40909.59,,,,,,70.3,
Butter,Chandigarh,,43,,,09-09-2019,123,Bihar,4449,2,,,Amul,648,94.96,771.48,,72897.15,,,,,,,11083.53,,Online,,94.49,72897.15,,,,,,90.11,
Cheese,Rajasthan,,20,,,09-09-2019,275,Kerala,4449,3,,,Dynamix Dairies,47,60.46,322.37,,15873.50,,,,,,,13722.5,,Wholesale,,49.24,15873.50,,,,,,49.9,
Lassi,West Bengal,,69,,,10-09-2019,58,Chandigarh,5887,7,,,Sudha,406,66.41,464.25,,20960.89,,,,,,,2499.22,,Retail,,45.15,20960.89,,,,,,43.09,
